COB_DATE,POSITION_ID,CUSIP,VaR,Duration,Convexity
20180102,20180102C491534729T5A009,C491534729,37680.31033,38.21892697,13.75615256
20180102,20180102BONDT1A006,,3468.775522,21.99179112,6.196805445
20180102,20180102C755456336T3A000,C755456336,27348.14165,15.30255063,0.921866961
20180102,20180102C207240619T5A001,C207240619,576.1401794,31.68977361,5.622743411
20180102,20180102C704813496T5A004,C704813496,60722.41385,8.433228465,1.438372829
20180102,20180102C309653244T1A015,C309653244,36906.69011,37.19978211,1.968960354
20180102,20180102C956810865T1A009,C956810865,56224.98745,49.99567989,24.83462473
20180102,20180102C317648987T3A014,C317648987,13918.0853,41.39735976,4.990453302
20180102,20180102C385264889T3A012,C385264889,1041.729032,30.91111384,3.737453894
20180102,20180102C956282871T3A001,C956282871,39254.62841,9.394330411,3.982354989
20180102,20180102BONDT2A011,,22611.69224,32.96654597,0.321170168
20180102,20180102C541596602T3A012,C541596602,79186.35712,34.5938792,5.588649258
20180102,20180102C417359878T1A009,C417359878,3320.282283,33.7334666,11.02332838
20180102,20180102C793685348T3A014,C793685348,56397.45419,42.60803228,9.771460219
20180102,20180102C501048147T3A011,C501048147,2757.328152,35.73917373,17.13541449
20180102,20180102C500289558T3A008,C500289558,79098.31169,43.00525314,17.50788513
20180102,20180102C309653244T2A011,C309653244,49845.11938,48.92450231,22.94998012
20180102,20180102BONDT1A009,,11401.34746,13.06382488,5.469050903
20180102,20180102C386947041T1A009,C386947041,19224.70627,46.19526379,15.65503255
20180102,20180102BONDT2A014,,498746.7546,31.09974168,6.663904254
20180102,20180102C534956101T5A001,C534956101,27852.65721,36.82288161,7.733617641
20180102,20180102C772969772T2A007,C772969772,2234.368686,44.75056058,17.48705674
20180102,20180102C906008511T1A009,C906008511,20898.36361,43.47884144,7.670808199
20180102,20180102C900255546T4A011,C900255546,1836.112379,38.11995488,9.464530663
20180102,20180102BONDT5A006,,61602.61939,39.94910937,15.69394576
20180102,20180102BONDT3A001,,17342.24186,10.77184841,0.750150497
20180102,20180102C285291663T4A005,C285291663,10201.07183,4.787791009,0.425226266
20180102,20180102C351197651T3A001,C351197651,2541.732521,48.64703078,2.670002975
20180102,20180102C793685348T2A005,C793685348,36104.63332,35.31491758,11.26910271
20180102,20180102C458497274T2A005,C458497274,51164.87779,27.79906432,1.29955914
20180102,20180102C774787649T5A008,C774787649,20363.94667,0.310337809,0.086802259
20180102,20180102C348312558T2A005,C348312558,16087.36945,2.440255514,0.620809728
20180102,20180102C262865085T1A000,C262865085,9856.154206,10.86859961,5.203663668
20180102,20180102C534956101T2A007,C534956101,736.5080491,16.09975924,4.990836494
20180102,20180102C175210911T3A006,C175210911,16364.82369,43.4292661,16.96455279
20180102,20180102C348312558T1A009,C348312558,28036.33721,5.03347111,0.030442487
20180102,20180102C966634544T5A010,C966634544,81455.4054,32.32083908,4.955164363
20180102,20180102C402902400T1A012,C402902400,6259.834892,12.31950478,2.011182384
20180102,20180102C317648987T3A013,C317648987,11931.49913,32.88837971,10.90045739
20180102,20180102C500289558T5A015,C500289558,44240.66004,0.029104932,0.006893287
20180102,20180102C615991809T1A013,C615991809,3450.332687,28.07404107,1.651089625
20180102,20180102C763405435T5A013,C763405435,40052.15931,47.43902044,13.24627743
20180102,20180102C823054248T1A013,C823054248,15203.98737,38.64052349,3.249009598
20180102,20180102C925055856T5A002,C925055856,3957.547726,10.55598598,4.074278452
20180102,20180102C298891492T5A001,C298891492,0,29.11881292,3.005246874
20180102,20180102BONDT5A011,,18423.77944,44.36204636,2.828837044
20180102,20180102C755456336T2A006,C755456336,25493.09257,45.8254815,10.41665463
20180102,20180102BONDT5A004,,4209.598824,23.57459857,3.347049759
20180102,20180102C667933999T2A007,C667933999,0,25.92647242,11.73485085
20180102,20180102C182368642T3A013,C182368642,56850.58263,34.46214791,12.23342193
