COB_DATE,CUSIP,CLOSE_PRICE_USD,RATE
20180101,C113609857,182.7836359,0.098567587
20180102,C113609857,191.5393928,0.065218238
20180103,C113609857,195.7076721,0.042852782
20180104,C113609857,197.3321327,0.071145653
20180105,C113609857,203.4112747,0.113113742
20180106,C113609857,195.2047569,0.008100371
20180107,C113609857,201.3321407,0.097268566
20180108,C113609857,206.3247243,0.028394994
20180109,C113609857,207.0751484,0.117395141
20180110,C113609857,206.7706685,0.141513245
20180111,C113609857,210.4637431,0.116468167
20180112,C113609857,204.6987658,0.103755619
20180113,C113609857,196.5756679,0.066238684
20180114,C113609857,195.0829155,0.119228666
20180115,C113609857,205.9902456,0.173298735
20180116,C113609857,198.004203,0.140921167
20180117,C113609857,214.4358091,0.132511043
20180118,C113609857,231.6944377,0.088758599
20180119,C113609857,227.9845794,0.144556129
20180120,C113609857,231.2471842,0.107456201
20180121,C113609857,246.9966668,0.189755853
20180122,C113609857,252.7853902,0.079872792
20180123,C113609857,253.8036742,0.146200204
20180124,C113609857,244.7893726,0.027176129
20180125,C113609857,246.124014,0.039650277
20180126,C113609857,258.8518392,0.138160669
20180127,C113609857,260.099934,0.033653623
20180128,C113609857,257.0807526,0.148705083
20180129,C113609857,264.732759,0.088612507
20180130,C113609857,260.411467,0.183556988
20180131,C113609857,260.7734851,0.108064639
20180201,C113609857,259.2667603,0.06643623
20180202,C113609857,266.3412192,0.050090324
20180203,C113609857,254.201991,0.118351462
20180204,C113609857,247.9170122,0.01943324
20180205,C113609857,260.9317956,0.151723832
20180206,C113609857,255.5813195,0.033362025
20180207,C113609857,268.4355049,0.119968531
20180208,C113609857,258.9078844,0.105781715
20180209,C113609857,258.7220316,0.069453934
20180210,C113609857,253.4521562,0.07302421
20180211,C113609857,251.066349,0.081477641
20180212,C113609857,245.6326429,0.126634429
20180213,C113609857,248.8510789,0.122260825
20180214,C113609857,248.1210556,0.065360497
20180215,C113609857,242.7851519,0.127543756
20180216,C113609857,242.2474606,0.144665603
20180217,C113609857,235.1073535,0.086313403
20180218,C113609857,230.8095329,0.078707505
20180219,C113609857,227.5605943,0.122953607
20180220,C113609857,229.4895336,0.132586369
20180221,C113609857,226.4750203,0.121571715
20180222,C113609857,241.0402366,0.08095905
20180223,C113609857,247.667701,0.111301955
20180224,C113609857,250.7231631,0.035362635
20180225,C113609857,232.5234113,0.109655319
20180226,C113609857,234.0974677,0.118966315
20180227,C113609857,223.1729122,0.062903937
20180228,C113609857,217.1207558,0.080883724
20180301,C113609857,207.9902945,0.093287336
20180302,C113609857,199.1310026,0.020740534
20180303,C113609857,186.1113137,0.044162289
20180304,C113609857,169.215457,0.134232311
20180305,C113609857,178.2636391,0.092521738
20180306,C113609857,181.0250173,0.070108092
20180307,C113609857,188.3030763,0.040470587
20180308,C113609857,185.7135036,0.09581492
20180309,C113609857,185.7430386,0.07740945
20180310,C113609857,199.1679597,0.146575214
20180311,C113609857,201.5917821,0.076027828
20180312,C113609857,187.5407263,0.121408312
20180313,C113609857,189.4866072,0.049759099
20180314,C113609857,181.0993203,0.068537712
20180315,C113609857,177.5780315,0.098779312
20180316,C113609857,160.5480599,0.129531672
20180317,C113609857,156.0438348,0.136692032
20180318,C113609857,163.3675765,0.153320518
20180319,C113609857,163.4068205,0.062741398
20180320,C113609857,177.1589866,0.028301714
20180321,C113609857,193.8070451,0.084738218
20180322,C113609857,203.6079959,0.098929836
20180323,C113609857,208.7332707,0.062624408
20180324,C113609857,210.501024,0.071029331
20180325,C113609857,200.8070986,0.118403635
20180326,C113609857,194.2735995,0.110617914
20180327,C113609857,183.3142867,0.150574673
20180328,C113609857,180.490508,0.123576279
20180329,C113609857,167.9272318,0.084382298
20180330,C113609857,161.1778021,0.163591622
20180331,C113609857,161.0112081,0.077655587
20180401,C113609857,158.1984177,0.036072424
20180402,C113609857,160.5532314,0.158559583
20180403,C113609857,152.9584833,0.146540188
20180404,C113609857,149.9794351,0.074042852
20180405,C113609857,156.3863787,0.03307667
20180406,C113609857,154.5744239,0.084005358
20180407,C113609857,166.4019924,0.140883089
20180408,C113609857,160.0113888,0.09197663
20180409,C113609857,155.1957597,0.079906655
20180410,C113609857,148.8549177,0.09557077
20180411,C113609857,151.5604204,0.131492593
20180412,C113609857,154.5288145,0.064213514
20180413,C113609857,155.1365992,0.010803125
20180414,C113609857,149.264776,0.141925814
20180415,C113609857,144.4084274,0.149451833
20180416,C113609857,144.6316164,0.118355643
20180417,C113609857,143.4964038,0.156956334
20180418,C113609857,154.8617159,0.106028139
20180419,C113609857,141.9759027,0.124991
20180420,C113609857,135.5045345,0.095718586
20180421,C113609857,130.3619101,0.059909495
20180422,C113609857,126.3667319,0.100590229
20180423,C113609857,128.1816154,0.094124214
20180424,C113609857,132.1995471,0.101020772
20180425,C113609857,131.7952058,0.096920603
20180426,C113609857,136.6398714,0.146426734
